4,B,,B,Ball
8,B,,B,Ball
10,B,,B,Ball
12,B,,B,Ball
13,LL,A,G,Nick Gertje
14,RL,A,G,Nick Gertje
97,LA,A,G,Nick Gertje
98,RA,A,G,Nick Gertje
47,LL,A,P,Dennis Dotterweich
16,RL,A,P,Dennis Dotterweich
49,LL,A,P,Niklas Waelzlein
88,RL,A,P,Niklas Waelzlein
19,LL,A,P,Wili Sommer
52,RL,A,P,Wili Sommer
53,LL,A,P,Philipp Harlass
54,RL,A,P,Philipp Harlass
23,LL,A,P,Roman Hartleb
24,RL,A,P,Roman Hartleb
57,LL,A,P,Erik Engelhardt
58,RL,A,P,Erik Engelhardt
59,LL,A,P,Sandro Schneider
28,RL,A,P,Sandro Schneider
51,LL,B,G,Leon Krapf
62,RL,B,G,Leon Krapf
99,LA,B,G,Leon Krapf
100,RA,B,G,Leon Krapf
63,LL,B,P,Kevin Baer
64,RL,B,P,Kevin Baer
65,LL,B,P,Luca Ziegler
66,RL,B,P,Luca Ziegler
67,LL,B,P,Ben Mueller
68,RL,B,P,Ben Mueller
69,LL,B,P,Vale Reitstetter
38,RL,B,P,Vale Reitstetter
71,LL,B,P,Christopher
40,RL,B,P,Christopher
73,LL,B,P,Leon Heinze
74,RL,B,P,Leon Heinze
75,LL,B,P,Leo Langhans
44,RL,B,P,Leo Langhans
105,LL,,R,Referee
